post_location,relate_keyword
the lower and probably also middle lobe,lower;middle;mid
the lower lobe,lower
the upper lobe,upper
the middle lobe,middle;mid
the left lung base,left
the right lung base,right
the lung bases,base;bases
the left base,left
the right base,right
the right upper lung,right
the left upper lung,left
the right middle lung,right
the left middle lung,left
the right mid lung,right
the left mid lung,left
the right lower lung,right
the left lower lung,left
the right upper lobe,right
the left upper lobe,left
the right middle lobe,right
the left middle lobe,left
the right mid lobe,right
the left mid lobe,left
the right lower lobe,right
the left lower lobe,left
the left apical area,left
the left apical region,left
the right apical area,right
the right apical region,right
the apical region,apical;upper
the apical area,apical;upper
the right mid to lower lung,right;
the left mid to lower lung,left
the medial right lung base,right
the medial left lung base,left
the upper lungs,upper
the lower lungs,lower
the upper lobes,upper
the lower lobes,lower
the right mid to lower hemithorax,right
the left mid to lower hemithorax,left
the soft tissues,tissues;tissue
